From;To;Source
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/SynthesizedStringSwitchHashMethod;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/SynthesizedGlobalMethodSymbol;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/SynthesizedExplicitImplementationForwardingMethod;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/SynthesizedImplementationMethod;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/MethodToClassRewriter/BaseMethodWrapperSymbol;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/SynthesizedMethodBaseSymbol;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/UnprocessedDocumentationCommentFinder;cs+class://Microsoft/CodeAnalysis/CSharp/CSharpSyntaxWalker;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/CSharpCompilationOptions;cs+class://Microsoft/CodeAnalysis/CompilationOptions;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/CSharpParseOptions;cs+class://Microsoft/CodeAnalysis/ParseOptions;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/MergedNamespaceDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/MergedNamespaceOrTypeDeclaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/MergedNamespaceOrTypeDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/Declaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/MergedTypeDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/MergedNamespaceOrTypeDeclaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/RootSingleNamespaceDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceDeclaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceOrTypeDeclaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceDeclarationEx;cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceDeclaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceOrTypeDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/Declaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/SingleTypeDeclaration;cs+class://Microsoft/CodeAnalysis/CSharp/SingleNamespaceOrTypeDeclaration;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEDeltaAssemblyBuilder;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEAssemblyBuilderBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SymbolMatcher/MatchDefsToMetadata;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SymbolMatcher/MatchDefs;(not implemented)
