From;To;Source
cs+class://System/Data/Entity/Core/SchemaObjectModel/IntegerFacetDescriptionElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetDescriptionElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaEntityType;cs+class://System/Data/Entity/Core/SchemaObjectModel/StructuredType;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/PropertyRefElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunction;cs+class://System/Data/Entity/Core/SchemaObjectModel/Function;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunctionTypeElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetEnabledSchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/NavigationProperty;cs+class://System/Data/Entity/Core/SchemaObjectModel/Property;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/OnOperation;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/Parameter;cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetEnabledSchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/PrimitiveSchema;cs+class://System/Data/Entity/Core/SchemaObjectModel/Schema;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/Property;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/UsingElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ReferenceTypeElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunctionTypeElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ReferentialConstraint;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ReferentialConstraintRoleElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/Relationship;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaType;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/RelationshipEnd;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ReturnType;cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunctionTypeElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/RowTypeElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunctionTypeElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/RowTypePropertyElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunctionTypeElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ScalarType;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaType;(not implemented)
