direct?;source;from;to;from declaration
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CountersController;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;ExecuteAsync in Raven.Database.Counters.Controllers.RavenCountersApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CountersController;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;ExecuteActualRequest in Raven.Database.Counters.Controllers.RavenCountersApiController
True;Parameter;cs+class://Raven/Database/Server/Connections/WebSocketsTransport;cs+interface://Raven/Database/Server/Connections/IEventsTransport;TrySetupRequest in Raven.Database.Server.Connections.WebSocketsTransport
True;Parameter;cs+class://Raven/Database/Server/Connections/WebSocketsTransport;cs+interface://Raven/Database/Server/Connections/IEventsTransport;TrySetupRequest in Raven.Database.Server.Connections.WebSocketsTransport
True;Parameter;cs+class://Raven/Database/Server/Connections/WebSocketsTransport;cs+interface://Raven/Database/Server/Connections/IEventsTransport;TrySetupRequest in Raven.Database.Server.Connections.WebSocketsTransport
True;Parameter;cs+class://Raven/Database/Server/Connections/WebSocketsTransport;cs+interface://Raven/Database/Server/Connections/IEventsTransport;UpgradeToWebSockets in Owin.AppBuilderExtensions
True;Parameter;cs+class://Raven/Database/Server/Connections/WebSocketsTransport;cs+interface://Raven/Database/Server/Connections/IEventsTransport;UpgradeToWebSockets in Owin.AppBuilderExtensions
True;Assignment;cs+class://Raven/Server/RavenDbServer/ServerThingsForTests;cs+interface://Raven/Server/IServerThingsForTests;Initialize in Raven.Server.RavenDbServer
True;Return;cs+class://Raven/Bundles/Compression/Streams/CompressStream;cs+class://System/IO/Stream;Encode in Raven.Bundles.Compression.Plugin.DocumentCompression
True;Return;cs+class://Raven/Bundles/Compression/Streams/DecompressStream;cs+class://System/IO/Stream;Decode in Raven.Bundles.Compression.Plugin.DocumentCompression
True;Return;cs+class://Raven/Bundles/Encryption/Streams/SeekableCryptoStream;cs+class://System/IO/Stream;Encode in Raven.Bundles.Encryption.Plugin.IndexEncryption
True;Return;cs+class://Raven/Bundles/Encryption/Streams/SeekableCryptoStream;cs+class://System/IO/Stream;Decode in Raven.Bundles.Encryption.Plugin.IndexEncryption
True;Parameter;cs+class://Raven/Bundles/Encryption/Streams/SeekableCryptoStream;cs+class://System/IO/Stream;Encrypt in Raven.Bundles.Encryption.IndexFileCodec.Program
True;Return;cs+class://Lucene/Net/Search/Similar/MoreLikeThis/FreqQ;cs+class://Lucene/Net/Util/PriorityQueue[1];CreateQueue in Lucene.Net.Search.Similar.MoreLikeThis
